zip,price,station,route
94530,1.95,SFO,SFO02-028
94506,1.9,SFO,SFO01-006
94131,1.95,SFO,SFO01-023
94030,1.9,SFO,SFO01-019
95012,2.3,SFO,SFO01-035
94598,2.1,SFO,SFO02-027
94301,2,SFO,SFO01-020
94805,1.95,SFO,SFO02-028
95070,2.1,SFO,SFO01-037
94564,1.95,SFO,SFO02-046
94505,2.05,SFO,SFO01-026
95135,1.9,SFO,SFO01-015
94931,2.2,SFO,SFO02-033
95030,2,SFO,SFO01-037
94542,1.95,SFO,SFO01-008
95304,2.05,SFO,SFO01-030
94904,2.3,SFO,SFO02-032
94925,2.3,SFO,SFO02-032
94024,1.95,SFO,SFO01-021
94127,1.95,SFO,SFO01-023
95119,2,SFO,SFO01-044
94703,2.1,SFO,SFO01-001
94041,1.95,SFO,SFO01-021
94552,1.9,SFO,SFO01-006
95066,2.35,SFO,SFO01-040
94563,2.15,SFO,SFO01-005
94702,2.1,SFO,SFO01-001
94065,1.95,SFO,SFO01-017
94507,2.15,SFO,SFO01-005
94595,2.15,SFO,SFO01-005
94517,2.05,SFO,SFO01-026
95130,2,SFO,SFO01-037
94704,2.1,SFO,SFO01-001
94502,1.95,SFO,SFO01-004
94705,2.1,SFO,SFO01-001
95134,2.1,SFO,SFO01-014
94158,2.2,SFO,SFO01-022
95046,2,SFO,SFO01-016
94706,2.1,SFO,SFO01-001
95018,2.35,SFO,SFO01-040
94618,2.1,SFO,SFO01-001
94610,2,SFO,SFO01-002
94572,1.95,SFO,SFO02-046
94556,2.15,SFO,SFO01-005
95010,2.3,SFO,SFO01-035
95005,2.35,SFO,SFO01-040
94939,2.3,SFO,SFO02-032
94305,2,SFO,SFO01-020
94028,2,SFO,SFO01-020
94130,2.2,SFO,SFO01-022
94710,2.1,SFO,SFO01-001
95019,2.3,SFO,SFO01-035
94951,2.15,SFO,SFO02-033
94005,1.95,SFO,SFO01-018
95004,2.3,SFO,SFO01-035
94707,2.1,SFO,SFO01-001
95139,2,SFO,SFO01-044
94708,2.1,SFO,SFO01-001
94304,2,SFO,SFO01-020
94027,2,SFO,SFO01-020
94709,2.1,SFO,SFO01-001
95113,2.1,SFO,SFO01-029
95442,2.25,SFO,SFO02-031
95045,2.3,SFO,SFO01-035
94038,2.35,SFO,SFO01-003
94129,2.05,SFO,SFO01-024
94037,2.35,SFO,SFO01-003
95452,2.25,SFO,SFO02-031
94525,1.95,SFO,SFO02-046
94018,2.35,SFO,SFO01-003
94720,2.1,SFO,SFO01-001
94586,1.95,SFO,SFO01-009
94592,2.05,SFO,SFO02-034
95064,2.35,SFO,SFO01-040
95002,2.1,SFO,SFO01-014
95013,2,SFO,SFO01-044
95439,2.35,SFO,SFO02-042
94662,2.1,SFO,SFO01-001
94623,2.1,SFO,SFO01-001
94617,2.1,SFO,SFO01-001
94615,2.1,SFO,SFO01-001
94612,2.1,SFO,SFO01-001
94608,2.1,SFO,SFO01-001
94607,2.1,SFO,SFO01-001
94604,2.1,SFO,SFO01-001
94701,2.1,SFO,SFO01-001
94624,2,SFO,SFO01-002
94606,2,SFO,SFO01-002
94516,2,SFO,SFO01-002
94613,1.95,SFO,SFO01-045
94528,1.9,SFO,SFO01-006
94537,1.95,SFO,SFO01-011
95152,1.9,SFO,SFO01-012
95036,1.9,SFO,SFO01-012
95173,1.9,SFO,SFO01-013
95164,2.1,SFO,SFO01-014
95056,2.1,SFO,SFO01-014
95151,1.9,SFO,SFO01-015
94128,1.9,SFO,SFO01-019
95156,1.9,SFO,SFO01-051
95065,2.3,SFO,SFO01-035
95073,2.3,SFO,SFO01-035
94965,2.1,SFO,SFO01-047
94941,2.1,SFO,SFO01-047
94920,2.1,SFO,SFO01-047
94952,2.1,SFO,SFO01-048
95472,2.1,SFO,SFO01-048
95444,2.1,SFO,SFO01-048
95436,2.1,SFO,SFO01-048
94569,2,SFO,SFO02-027
95431,2.25,SFO,SFO02-031
94599,2.25,SFO,SFO02-031
94533,2.1,SMF,SMF01-009
95823,1.85,SMF,SMF01-003
95828,1.85,SMF,SMF01-002
95624,1.85,SMF,SMF01-007
95687,2.1,SMF,SMF01-009
95648,2.05,SMF,SMF01-001
95758,1.85,SMF,SMF01-013
95757,1.95,SMF,SMF01-013
95670,1.85,SMF,SMF01-010
95608,1.85,SMF,SMF01-004
95843,1.85,SMF,SMF01-012
95835,1.9,SMF,SMF01-016
95610,1.85,SMF,SMF01-015
95838,1.85,SMF,SMF01-011
94534,2.1,SMF,SMF01-009
95834,1.9,SMF,SMF01-016
95833,2,SMF,SMF01-016
95991,2.2,SMF,SMF01-006
95822,1.85,SMF,SMF01-008
95821,1.85,SMF,SMF01-004
95961,2.2,SMF,SMF01-006
95829,1.85,SMF,SMF01-010
95831,1.85,SMF,SMF01-003
95621,1.85,SMF,SMF01-015
95901,2.2,SMF,SMF01-006
95628,1.85,SMF,SMF01-004
95765,1.85,SMF,SMF01-001
95825,1.85,SMF,SMF01-011
95660,1.85,SMF,SMF01-012
95842,1.85,SMF,SMF01-012
95826,1.85,SMF,SMF01-011
95993,2.2,SMF,SMF01-006
95691,2,SMF,SMF01-005
95824,1.85,SMF,SMF01-002
95815,1.85,SMF,SMF01-011
95677,1.85,SMF,SMF01-001
95603,2.3,SMF,SMF01-014
95820,1.85,SMF,SMF01-008
95742,2.05,SMF,SMF01-007
95662,1.85,SMF,SMF01-015
95620,2.1,SMF,SMF01-009
95841,1.85,SMF,SMF01-004
95673,1.9,SMF,SMF01-016
95827,1.85,SMF,SMF01-010
95864,2.15,SMF,SMF01-011
95818,1.85,SMF,SMF01-008
95816,1.95,SMF,SMF01-008
95605,1.9,SMF,SMF01-005
95832,1.85,SMF,SMF01-003
95650,1.95,SMF,SMF01-001
95814,2.3,SMF,SMF01-005
95811,2.3,SMF,SMF01-005
95817,1.85,SMF,SMF01-008
95819,1.95,SMF,SMF01-008
95658,2.3,SMF,SMF01-014
95626,1.9,SMF,SMF01-016
95655,1.85,SMF,SMF01-007
95663,2.3,SMF,SMF01-014
95830,1.85,SMF,SMF01-007
95652,1.85,SMF,SMF01-012
95696,2.1,SMF,SMF01-009
95747,1.85,SCK,SCK01-006
95630,1.85,SCK,SCK01-001
95206,2.05,SCK,SCK01-004
95337,2.05,SCK,SCK01-007
95336,2.05,SCK,SCK01-007
95209,2.05,SCK,SCK01-008
95207,2.05,SCK,SCK01-005
95330,2.05,SCK,SCK01-004
95678,1.85,SCK,SCK01-006
95205,2.05,SCK,SCK01-005
95212,2.05,SCK,SCK01-008
95210,2.05,SCK,SCK01-008
95661,1.85,SCK,SCK01-001
95204,2.05,SCK,SCK01-005
95746,1.85,SCK,SCK01-001
95203,2.05,SCK,SCK01-004
95366,2.05,SCK,SCK01-007
95202,2.05,SCK,SCK01-005
95231,2.05,SCK,SCK01-004
93955,2.1,OAR,OAR01-001
93960,2.1,OAR,OAR01-001
93933,2.1,OAR,OAR01-001
93940,2.1,OAR,OAR01-001
93927,2.1,OAR,OAR01-001
93930,2.1,OAR,OAR01-001
93908,2.1,OAR,OAR01-001
93950,2.1,OAR,OAR01-001
93926,2.1,OAR,OAR01-001
93953,2.1,OAR,OAR01-001
93921,2.1,OAR,OAR01-001
95355,2.05,MOD,MOD01-002
95363,2.15,MOD,MOD01-001
95350,2.05,MOD,MOD01-004
95351,2.05,MOD,MOD01-004
95307,2.05,MOD,MOD01-003
95380,2.05,MOD,MOD01-001
95356,2.05,MOD,MOD01-002
95361,2.05,MOD,MOD01-002
95382,2.05,MOD,MOD01-003
